coupe,num_coupe,dimension,labels
Coronal,0,256*128,"[('Unknown', 32768)]"
Coronal,1,256*128,"[('Unknown', 32768)]"
Coronal,2,256*128,"[('Unknown', 32768)]"
Coronal,3,256*128,"[('Unknown', 32768)]"
Coronal,4,256*128,"[('Unknown', 32768)]"
Coronal,5,256*128,"[('Unknown', 32768)]"
Coronal,6,256*128,"[('Unknown', 32768)]"
Coronal,7,256*128,"[('Unknown', 32768)]"
Coronal,8,256*128,"[('Unknown', 32768)]"
Coronal,9,256*128,"[('Unknown', 32768)]"
Coronal,10,256*128,"[('Unknown', 32768)]"
Coronal,11,256*128,"[('Unknown', 32768)]"
Coronal,12,256*128,"[('Unknown', 32768)]"
Coronal,13,256*128,"[('Unknown', 32768)]"
Coronal,14,256*128,"[('Unknown', 32768)]"
Coronal,15,256*128,"[('Unknown', 32768)]"
Coronal,16,256*128,"[('Unknown', 32768)]"
Coronal,17,256*128,"[('Unknown', 32768)]"
Coronal,18,256*128,"[('Unknown', 32768)]"
Coronal,19,256*128,"[('Unknown', 32768)]"
Coronal,20,256*128,"[('Unknown', 32768)]"
Coronal,21,256*128,"[('Unknown', 32768)]"
Coronal,22,256*128,"[('Unknown', 32768)]"
Coronal,23,256*128,"[('Unknown', 32768)]"
Coronal,24,256*128,"[('Unknown', 32768)]"
Coronal,25,256*128,"[('Unknown', 32768)]"
Coronal,26,256*128,"[('Unknown', 32768)]"
Coronal,27,256*128,"[('Unknown', 32768)]"
Coronal,28,256*128,"[('Unknown', 32768)]"
Coronal,29,256*128,"[('Unknown', 32768)]"
Coronal,30,256*128,"[('Unknown', 32768)]"
Coronal,31,256*128,"[('Unknown', 32768)]"
Coronal,32,256*128,"[('Unknown', 32768)]"
Coronal,33,256*128,"[('Unknown', 32768)]"
Coronal,34,256*128,"[('Unknown', 32768)]"
Coronal,35,256*128,"[('Unknown', 32768)]"
Coronal,36,256*128,"[('Unknown', 32768)]"
Coronal,37,256*128,"[('Unknown', 32768)]"
Coronal,38,256*128,"[('Unknown', 32768)]"
Coronal,39,256*128,"[('Unknown', 32768)]"
Coronal,40,256*128,"[('Unknown', 32768)]"
Coronal,41,256*128,"[('Unknown', 32768)]"
Coronal,42,256*128,"[('Unknown', 32768)]"
Coronal,43,256*128,"[('Unknown', 32768)]"
Coronal,44,256*128,"[('Unknown', 32768)]"
Coronal,45,256*128,"[('Unknown', 32768)]"
Coronal,46,256*128,"[('Unknown', 32768)]"
Coronal,47,256*128,"[('Unknown', 32768)]"
Coronal,48,256*128,"[('Unknown', 32768)]"
Coronal,49,256*128,"[('Unknown', 32768)]"
Coronal,50,256*128,"[('Unknown', 32768)]"
Coronal,51,256*128,"[('Unknown', 32768)]"
Coronal,52,256*128,"[('Unknown', 32768)]"
Coronal,53,256*128,"[('Unknown', 32768)]"
Coronal,54,256*128,"[('Unknown', 32768)]"
Coronal,55,256*128,"[('Unknown', 32768)]"
Coronal,56,256*128,"[('Unknown', 32768)]"
Coronal,57,256*128,"[('Unknown', 32768)]"
Coronal,58,256*128,"[('Unknown', 32768)]"
Coronal,59,256*128,"[('Unknown', 32768)]"
Coronal,60,256*128,"[('Unknown', 32768)]"
Coronal,61,256*128,"[('Unknown', 32767), ('left cerebellar cortex', 1)]"
Coronal,62,256*128,"[('Unknown', 32753), ('left cerebellar cortex', 9), ('right cerebellar cortex', 6)]"
Coronal,63,256*128,"[('Unknown', 32679), ('left cerebellar cortex', 25), ('right cerebellar cortex', 64)]"
Coronal,64,256*128,"[('Unknown', 32555), ('left cerebellar cortex', 71), ('brainstem', 24), ('right cerebellar cortex', 118)]"
Coronal,65,256*128,"[('Unknown', 32440), ('left cerebellar cortex', 126), ('brainstem', 45), ('right cerebellar cortex', 157)]"
Coronal,66,256*128,"[('Unknown', 32224), ('left cerebellar cortex', 244), ('brainstem', 66), ('right cerebellar cortex', 234)]"
Coronal,67,256*128,"[('Unknown', 31894), ('left cerebellar cortex', 396), ('brainstem', 89), ('right cerebellar cortex', 389)]"
Coronal,68,256*128,"[('Unknown', 31579), ('left cerebellar cortex', 543), ('brainstem', 95), ('right cerebellar cortex', 551)]"
Coronal,69,256*128,"[('Unknown', 31253), ('left cerebellar cortex', 660), ('brainstem', 139), ('right cerebellar cortex', 716)]"
Coronal,70,256*128,"[('Unknown', 31003), ('left cerebellar cortex', 774), ('brainstem', 153), ('right cerebellar cortex', 838)]"
Coronal,71,256*128,"[('Unknown', 30788), ('left cerebellar cortex', 885), ('fourth ventricle', 2), ('brainstem', 165), ('right cerebellar cortex', 928)]"
Coronal,72,256*128,"[('Unknown', 30604), ('left cerebellar cortex', 980), ('fourth ventricle', 5), ('brainstem', 173), ('right cerebellar cortex', 1006)]"
Coronal,73,256*128,"[('Unknown', 30446), ('white matter of left hemisphere of cerebellum', 1), ('left cerebellar cortex', 1052), ('fourth ventricle', 7), ('brainstem', 180), ('right cerebellar cortex', 1082)]"
