coupe,num coupe,dimensions,labels
coronal,0,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,1,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,2,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,3,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,4,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,5,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,6,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,7,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,8,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,9,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,10,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,11,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,12,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,13,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,14,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,15,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,16,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,17,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,18,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,19,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,20,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,21,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,22,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,23,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,24,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,25,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,26,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,27,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,28,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,29,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,30,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,31,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,32,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,33,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,34,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,35,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,36,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,37,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,38,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,39,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,40,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,41,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,42,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,43,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,44,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,45,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,46,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,47,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,48,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,49,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,50,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,51,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,52,"(128, 256)","[('Unknown', '40960.0000')]"
coronal,53,"(128, 256)","[('Unknown', '40940.0000'), ('cortex of right cerebral hemisphere', '2.5000'), ('', '17.5000')]"
coronal,54,"(128, 256)","[('Unknown', '40712.5000'), ('cortex of left cerebral hemisphere', '41.2500'), ('cortex of right cerebral hemisphere', '165.0000'), ('', '41.2500')]"
coronal,55,"(128, 256)","[('Unknown', '40367.5000'), ('cortex of left cerebral hemisphere', '175.0000'), ('cortex of right cerebral hemisphere', '330.0000'), ('', '87.5000')]"
coronal,56,"(128, 256)","[('Unknown', '40102.5000'), ('cortex of left cerebral hemisphere', '325.0000'), ('cortex of right cerebral hemisphere', '466.2500'), ('', '66.2500')]"
coronal,57,"(128, 256)","[('Unknown', '39897.5000'), ('cortex of left cerebral hemisphere', '418.7500'), ('cortex of right cerebral hemisphere', '578.7500'), ('', '65.0000')]"
coronal,58,"(128, 256)","[('Unknown', '39686.2500'), ('white matter of left cerebral hemisphere', '2.5000'), ('cortex of left cerebral hemisphere', '520.0000'), ('cortex of right cerebral hemisphere', '686.2500'), ('', '65.0000')]"
coronal,59,"(128, 256)","[('Unknown', '39472.5000'), ('white matter of left cerebral hemisphere', '7.5000'), ('cortex of left cerebral hemisphere', '608.7500'), ('white matter of right cerebral hemisphere', '12.5000'), ('cortex of right cerebral hemisphere', '796.2500'), ('', '62.5000')]"
coronal,60,"(128, 256)","[('Unknown', '39288.7500'), ('white matter of left cerebral hemisphere', '22.5000'), ('cortex of left cerebral hemisphere', '663.7500'), ('white matter of right cerebral hemisphere', '30.0000'), ('cortex of right cerebral hemisphere', '846.2500'), ('', '108.7500')]"
coronal,61,"(128, 256)","[('Unknown', '39111.2500'), ('white matter of left cerebral hemisphere', '47.5000'), ('cortex of left cerebral hemisphere', '733.7500'), ('white matter of right cerebral hemisphere', '56.2500'), ('cortex of right cerebral hemisphere', '893.7500'), ('', '117.5000')]"
coronal,62,"(128, 256)","[('Unknown', '38963.7500'), ('white matter of left cerebral hemisphere', '93.7500'), ('cortex of left cerebral hemisphere', '782.5000'), ('white matter of right cerebral hemisphere', '92.5000'), ('cortex of right cerebral hemisphere', '920.0000'), ('', '107.5000')]"
coronal,63,"(128, 256)","[('Unknown', '38777.5000'), ('white matter of left cerebral hemisphere', '118.7500'), ('cortex of left cerebral hemisphere', '836.2500'), ('white matter of right cerebral hemisphere', '135.0000'), ('cortex of right cerebral hemisphere', '957.5000'), ('', '135.0000')]"
coronal,64,"(128, 256)","[('Unknown', '38607.5000'), ('white matter of left cerebral hemisphere', '138.7500'), ('cortex of left cerebral hemisphere', '897.5000'), ('white matter of right cerebral hemisphere', '182.5000'), ('cortex of right cerebral hemisphere', '1013.7500'), ('', '120.0000')]"
coronal,65,"(128, 256)","[('Unknown', '38452.5000'), ('white matter of left cerebral hemisphere', '156.2500'), ('cortex of left cerebral hemisphere', '970.0000'), ('white matter of right cerebral hemisphere', '201.2500'), ('cortex of right cerebral hemisphere', '1052.5000'), ('', '127.5000')]"
coronal,66,"(128, 256)","[('Unknown', '38288.7500'), ('white matter of left cerebral hemisphere', '190.0000'), ('cortex of left cerebral hemisphere', '1017.5000'), ('white matter of right cerebral hemisphere', '237.5000'), ('cortex of right cerebral hemisphere', '1086.2500'), ('', '140.0000')]"
coronal,67,"(128, 256)","[('Unknown', '38172.5000'), ('white matter of left cerebral hemisphere', '213.7500'), ('cortex of left cerebral hemisphere', '1038.7500'), ('white matter of right cerebral hemisphere', '261.2500'), ('cortex of right cerebral hemisphere', '1142.5000'), ('', '131.2500')]"
coronal,68,"(128, 256)","[('Unknown', '38038.7500'), ('white matter of left cerebral hemisphere', '246.2500'), ('cortex of left cerebral hemisphere', '1076.2500'), ('white matter of right cerebral hemisphere', '292.5000'), ('cortex of right cerebral hemisphere', '1157.5000'), ('', '148.7500')]"
coronal,69,"(128, 256)","[('Unknown', '37895.0000'), ('white matter of left cerebral hemisphere', '281.2500'), ('cortex of left cerebral hemisphere', '1115.0000'), ('white matter of right cerebral hemisphere', '327.5000'), ('cortex of right cerebral hemisphere', '1208.7500'), ('', '132.5000')]"
coronal,70,"(128, 256)","[('Unknown', '37751.2500'), ('white matter of left cerebral hemisphere', '310.0000'), ('cortex of left cerebral hemisphere', '1165.0000'), ('white matter of right cerebral hemisphere', '370.0000'), ('cortex of right cerebral hemisphere', '1222.5000'), ('', '141.2500')]"
coronal,71,"(128, 256)","[('Unknown', '37658.7500'), ('white matter of left cerebral hemisphere', '337.5000'), ('cortex of left cerebral hemisphere', '1183.7500'), ('white matter of right cerebral hemisphere', '388.7500'), ('cortex of right cerebral hemisphere', '1263.7500'), ('', '127.5000')]"
coronal,72,"(128, 256)","[('Unknown', '37520.0000'), ('white matter of left cerebral hemisphere', '370.0000'), ('cortex of left cerebral hemisphere', '1211.2500'), ('white matter of right cerebral hemisphere', '411.2500'), ('cortex of right cerebral hemisphere', '1306.2500'), ('', '141.2500')]"
coronal,73,"(128, 256)","[('Unknown', '37367.5000'), ('white matter of left cerebral hemisphere', '387.5000'), ('cortex of left cerebral hemisphere', '1275.0000'), ('white matter of right cerebral hemisphere', '453.7500'), ('cortex of right cerebral hemisphere', '1340.0000'), ('', '136.2500')]"
coronal,74,"(128, 256)","[('Unknown', '37252.5000'), ('white matter of left cerebral hemisphere', '412.5000'), ('cortex of left cerebral hemisphere', '1281.2500'), ('white matter of right cerebral hemisphere', '475.0000'), ('cortex of right cerebral hemisphere', '1380.0000'), ('', '158.7500')]"
coronal,75,"(128, 256)","[('Unknown', '37123.7500'), ('white matter of left cerebral hemisphere', '473.7500'), ('cortex of left cerebral hemisphere', '1286.2500'), ('white matter of right cerebral hemisphere', '501.2500'), ('cortex of right cerebral hemisphere', '1401.2500'), ('', '173.7500')]"
coronal,76,"(128, 256)","[('Unknown', '36996.2500'), ('white matter of left cerebral hemisphere', '498.7500'), ('cortex of left cerebral hemisphere', '1331.2500'), ('white matter of right cerebral hemisphere', '526.2500'), ('cortex of right cerebral hemisphere', '1426.2500'), ('', '181.2500')]"
coronal,77,"(128, 256)","[('Unknown', '36872.5000'), ('white matter of left cerebral hemisphere', '515.0000'), ('cortex of left cerebral hemisphere', '1385.0000'), ('white matter of right cerebral hemisphere', '561.2500'), ('cortex of right cerebral hemisphere', '1456.2500'), ('', '170.0000')]"
coronal,78,"(128, 256)","[('Unknown', '36747.5000'), ('white matter of left cerebral hemisphere', '530.0000'), ('cortex of left cerebral hemisphere', '1432.5000'), ('white matter of right cerebral hemisphere', '576.2500'), ('cortex of right cerebral hemisphere', '1501.2500'), ('', '172.5000')]"
coronal,79,"(128, 256)","[('Unknown', '36610.0000'), ('white matter of left cerebral hemisphere', '546.2500'), ('cortex of left cerebral hemisphere', '1467.5000'), ('white matter of right cerebral hemisphere', '611.2500'), ('cortex of right cerebral hemisphere', '1540.0000'), ('', '185.0000')]"
coronal,80,"(128, 256)","[('Unknown', '36496.2500'), ('white matter of left cerebral hemisphere', '551.2500'), ('cortex of left cerebral hemisphere', '1513.7500'), ('white matter of right cerebral hemisphere', '630.0000'), ('cortex of right cerebral hemisphere', '1563.7500'), ('', '205.0000')]"
coronal,81,"(128, 256)","[('Unknown', '36367.5000'), ('white matter of left cerebral hemisphere', '592.5000'), ('cortex of left cerebral hemisphere', '1547.5000'), ('white matter of right cerebral hemisphere', '652.5000'), ('cortex of right cerebral hemisphere', '1611.2500'), ('', '188.7500')]"
coronal,82,"(128, 256)","[('Unknown', '36258.7500'), ('white matter of left cerebral hemisphere', '636.2500'), ('cortex of left cerebral hemisphere', '1570.0000'), ('white matter of right cerebral hemisphere', '687.5000'), ('cortex of right cerebral hemisphere', '1621.2500'), ('', '186.2500')]"
coronal,83,"(128, 256)","[('Unknown', '36170.0000'), ('white matter of left cerebral hemisphere', '657.5000'), ('cortex of left cerebral hemisphere', '1578.7500'), ('white matter of right cerebral hemisphere', '720.0000'), ('cortex of right cerebral hemisphere', '1630.0000'), ('', '203.7500')]"
coronal,84,"(128, 256)","[('Unknown', '36042.5000'), ('white matter of left cerebral hemisphere', '692.5000'), ('cortex of left cerebral hemisphere', '1613.7500'), ('white matter of right cerebral hemisphere', '740.0000'), ('cortex of right cerebral hemisphere', '1673.7500'), ('', '197.5000')]"
coronal,85,"(128, 256)","[('Unknown', '35961.2500'), ('white matter of left cerebral hemisphere', '745.0000'), ('cortex of left cerebral hemisphere', '1607.5000'), ('white matter of right cerebral hemisphere', '770.0000'), ('cortex of right cerebral hemisphere', '1675.0000'), ('', '201.2500')]"
coronal,86,"(128, 256)","[('Unknown', '35853.7500'), ('white matter of left cerebral hemisphere', '757.5000'), ('cortex of left cerebral hemisphere', '1622.5000'), ('white matter of right cerebral hemisphere', '788.7500'), ('cortex of right cerebral hemisphere', '1685.0000'), ('', '252.5000')]"
coronal,87,"(128, 256)","[('Unknown', '35761.2500'), ('white matter of left cerebral hemisphere', '822.5000'), ('cortex of left cerebral hemisphere', '1622.5000'), ('white matter of right cerebral hemisphere', '851.2500'), ('cortex of right cerebral hemisphere', '1668.7500'), ('', '233.7500')]"
coronal,88,"(128, 256)","[('Unknown', '35676.2500'), ('white matter of left cerebral hemisphere', '846.2500'), ('cortex of left cerebral hemisphere', '1622.5000'), ('white matter of right cerebral hemisphere', '900.0000'), ('cortex of right cerebral hemisphere', '1673.7500'), ('', '241.2500')]"
coronal,89,"(128, 256)","[('Unknown', '35616.2500'), ('white matter of left cerebral hemisphere', '897.5000'), ('cortex of left cerebral hemisphere', '1621.2500'), ('white matter of right cerebral hemisphere', '943.7500'), ('cortex of right cerebral hemisphere', '1677.5000'), ('', '203.7500')]"
coronal,90,"(128, 256)","[('Unknown', '35530.0000'), ('white matter of left cerebral hemisphere', '940.0000'), ('cortex of left cerebral hemisphere', '1638.7500'), ('white matter of right cerebral hemisphere', '968.7500'), ('cortex of right cerebral hemisphere', '1677.5000'), ('', '205.0000')]"
coronal,91,"(128, 256)","[('Unknown', '35402.5000'), ('white matter of left cerebral hemisphere', '947.5000'), ('cortex of left cerebral hemisphere', '1626.2500'), ('white matter of right cerebral hemisphere', '998.7500'), ('cortex of right cerebral hemisphere', '1703.7500'), ('', '281.2500')]"
coronal,92,"(128, 256)","[('Unknown', '35262.5000'), ('white matter of left cerebral hemisphere', '961.2500'), ('cortex of left cerebral hemisphere', '1646.2500'), ('white matter of right cerebral hemisphere', '1031.2500'), ('cortex of right cerebral hemisphere', '1788.7500'), ('', '270.0000')]"
coronal,93,"(128, 256)","[('Unknown', '35055.0000'), ('white matter of left cerebral hemisphere', '1016.2500'), ('cortex of left cerebral hemisphere', '1708.7500'), ('white matter of right cerebral hemisphere', '1041.2500'), ('cortex of right cerebral hemisphere', '1802.5000'), ('', '336.2500')]"
coronal,94,"(128, 256)","[('Unknown', '34881.2500'), ('white matter of left cerebral hemisphere', '1012.5000'), ('cortex of left cerebral hemisphere', '1796.2500'), ('white matter of right cerebral hemisphere', '1053.7500'), ('cortex of right cerebral hemisphere', '1917.5000'), ('', '298.7500')]"
coronal,95,"(128, 256)","[('Unknown', '34722.5000'), ('white matter of left cerebral hemisphere', '1006.2500'), ('cortex of left cerebral hemisphere', '1886.2500'), ('left lateral ventricle', '1.2500'), ('white matter of right cerebral hemisphere', '1070.0000'), ('cortex of right cerebral hemisphere', '1965.0000'), ('right lateral ventricle', '10.0000'), ('', '298.7500')]"
coronal,96,"(128, 256)","[('Unknown', '34556.2500'), ('white matter of left cerebral hemisphere', '980.0000'), ('cortex of left cerebral hemisphere', '1991.2500'), ('left lateral ventricle', '12.5000'), ('white matter of right cerebral hemisphere', '1067.5000'), ('cortex of right cerebral hemisphere', '2047.5000'), ('right lateral ventricle', '15.0000'), ('', '290.0000')]"
