coupe,num coupe,dimensions,voxel,labels
coronal,0,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,1,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,2,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,3,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,4,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,5,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,6,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,7,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,8,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,9,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,10,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,11,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,12,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,13,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,14,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,15,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,16,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,17,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,18,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,19,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,20,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,21,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,22,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,23,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,24,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,25,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,26,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,27,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,28,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,29,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,30,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,31,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,32,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,33,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,34,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,35,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,36,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,37,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,38,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,39,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,40,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,41,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,42,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,43,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
coronal,44,"(128, 256)","(1.25, 1.0, 1.0)","[(0, 32768)]"
