coupe,num coupe,dimensions,labels
coronal,0,"(256, 256, 1)","[('Unknown', '86400.0000')]"
coronal,1,"(256, 256, 1)","[('Unknown', '86400.0000')]"
coronal,2,"(256, 256, 1)","[('Unknown', '86400.0000')]"
coronal,3,"(256, 256, 1)","[('Unknown', '86400.0000')]"
coronal,4,"(256, 256, 1)","[('Unknown', '86400.0000')]"
coronal,5,"(256, 256, 1)","[('Unknown', '86400.0000')]"
coronal,6,"(256, 256, 1)","[('Unknown', '86400.0000')]"
coronal,7,"(256, 256, 1)","[('Unknown', '86400.0000')]"
coronal,8,"(256, 256, 1)","[('Unknown', '85905.6152'), ('cortex of left cerebral hemisphere', '301.9043'), ('cortex of right cerebral hemisphere', '192.4805')]"
coronal,9,"(256, 256, 1)","[('Unknown', '85241.1621'), ('cortex of left cerebral hemisphere', '671.0449'), ('cortex of right cerebral hemisphere', '487.7930')]"
coronal,10,"(256, 256, 1)","[('Unknown', '84816.6504'), ('white matter of left cerebral hemisphere', '38.2324'), ('cortex of left cerebral hemisphere', '835.8398'), ('white matter of right cerebral hemisphere', '47.4609'), ('cortex of right cerebral hemisphere', '661.8164')]"
coronal,11,"(256, 256, 1)","[('Unknown', '84440.9180'), ('white matter of left cerebral hemisphere', '93.6035'), ('cortex of left cerebral hemisphere', '949.2188'), ('white matter of right cerebral hemisphere', '96.2402'), ('cortex of right cerebral hemisphere', '820.0195')]"
coronal,12,"(256, 256, 1)","[('Unknown', '83928.0762'), ('white matter of left cerebral hemisphere', '155.5664'), ('cortex of left cerebral hemisphere', '1208.9355'), ('white matter of right cerebral hemisphere', '163.4766'), ('cortex of right cerebral hemisphere', '943.9453')]"
coronal,13,"(256, 256, 1)","[('Unknown', '83425.7812'), ('white matter of left cerebral hemisphere', '206.9824'), ('cortex of left cerebral hemisphere', '1357.9102'), ('white matter of right cerebral hemisphere', '237.3047'), ('cortex of right cerebral hemisphere', '1172.0215')]"
coronal,14,"(256, 256, 1)","[('Unknown', '82919.5312'), ('white matter of left cerebral hemisphere', '307.1777'), ('cortex of left cerebral hemisphere', '1538.5254'), ('white matter of right cerebral hemisphere', '292.6758'), ('cortex of right cerebral hemisphere', '1342.0898')]"
coronal,15,"(256, 256, 1)","[('Unknown', '82518.7500'), ('white matter of left cerebral hemisphere', '382.3242'), ('cortex of left cerebral hemisphere', '1692.7734'), ('white matter of right cerebral hemisphere', '424.5117'), ('cortex of right cerebral hemisphere', '1355.2734'), ('right cerebellar cortex', '26.3672')]"
coronal,16,"(256, 256, 1)","[('Unknown', '81942.6270'), ('white matter of left cerebral hemisphere', '519.4336'), ('cortex of left cerebral hemisphere', '1715.1855'), ('left cerebellar cortex', '64.5996'), ('white matter of right cerebral hemisphere', '537.8906'), ('cortex of right cerebral hemisphere', '1440.9668'), ('right cerebellar cortex', '179.2969')]"
coronal,17,"(256, 256, 1)","[('Unknown', '81112.0605'), ('white matter of left cerebral hemisphere', '613.0371'), ('cortex of left cerebral hemisphere', '1836.4746'), ('left cerebellar cortex', '303.2227'), ('white matter of right cerebral hemisphere', '547.1191'), ('cortex of right cerebral hemisphere', '1651.9043'), ('right cerebellar cortex', '336.1816')]"
coronal,18,"(256, 256, 1)","[('Unknown', '80206.3477'), ('white matter of left cerebral hemisphere', '632.8125'), ('cortex of left cerebral hemisphere', '1986.7676'), ('left cerebellar cortex', '470.6543'), ('white matter of right cerebral hemisphere', '634.1309'), ('cortex of right cerebral hemisphere', '1818.0176'), ('white matter of right hemisphere of cerebellum', '21.0938'), ('right cerebellar cortex', '630.1758')]"
coronal,19,"(256, 256, 1)","[('Unknown', '79381.0547'), ('white matter of left cerebral hemisphere', '678.9551'), ('cortex of left cerebral hemisphere', '2155.5176'), ('white matter of left hemisphere of cerebellum', '5.2734'), ('left cerebellar cortex', '698.7305'), ('white matter of right cerebral hemisphere', '783.1055'), ('cortex of right cerebral hemisphere', '1919.5312'), ('white matter of right hemisphere of cerebellum', '23.7305'), ('right cerebellar cortex', '754.1016')]"
coronal,20,"(256, 256, 1)","[('Unknown', '78731.1035'), ('white matter of left cerebral hemisphere', '717.1875'), ('cortex of left cerebral hemisphere', '2260.9863'), ('white matter of left hemisphere of cerebellum', '34.2773'), ('left cerebellar cortex', '806.8359'), ('white matter of right cerebral hemisphere', '938.6719'), ('cortex of right cerebral hemisphere', '1895.8008'), ('white matter of right hemisphere of cerebellum', '38.2324'), ('right cerebellar cortex', '976.9043')]"
coronal,21,"(256, 256, 1)","[('Unknown', '78169.4824'), ('white matter of left cerebral hemisphere', '947.9004'), ('cortex of left cerebral hemisphere', '2214.8438'), ('white matter of left hemisphere of cerebellum', '59.3262'), ('left cerebellar cortex', '852.9785'), ('white matter of right cerebral hemisphere', '1053.3691'), ('cortex of right cerebral hemisphere', '1934.0332'), ('white matter of right hemisphere of cerebellum', '48.7793'), ('right cerebellar cortex', '1119.2871')]"
coronal,22,"(256, 256, 1)","[('Unknown', '77713.3301'), ('white matter of left cerebral hemisphere', '988.7695'), ('cortex of left cerebral hemisphere', '2279.4434'), ('white matter of left hemisphere of cerebellum', '42.1875'), ('left cerebellar cortex', '1027.0020'), ('white matter of right cerebral hemisphere', '1000.6348'), ('cortex of right cerebral hemisphere', '2048.7305'), ('white matter of right hemisphere of cerebellum', '87.0117'), ('right cerebellar cortex', '1212.8906')]"
coronal,23,"(256, 256, 1)","[('Unknown', '77135.8887'), ('white matter of left cerebral hemisphere', '1065.2344'), ('cortex of left cerebral hemisphere', '2332.1777'), ('white matter of left hemisphere of cerebellum', '52.7344'), ('left cerebellar cortex', '1135.1074'), ('white matter of right cerebral hemisphere', '1140.3809'), ('cortex of right cerebral hemisphere', '2101.4648'), ('white matter of right hemisphere of cerebellum', '94.9219'), ('right cerebellar cortex', '1342.0898')]"
coronal,24,"(256, 256, 1)","[('Unknown', '76362.0117'), ('white matter of left cerebral hemisphere', '1030.9570'), ('cortex of left cerebral hemisphere', '2533.8867'), ('white matter of left hemisphere of cerebellum', '85.6934'), ('left cerebellar cortex', '1348.6816'), ('white matter of right cerebral hemisphere', '1214.2090'), ('cortex of right cerebral hemisphere', '2159.4727'), ('right lateral ventricle', '7.9102'), ('white matter of right hemisphere of cerebellum', '172.7051'), ('right cerebellar cortex', '1484.4727')]"
coronal,25,"(256, 256, 1)","[('Unknown', '75824.1211'), ('white matter of left cerebral hemisphere', '1037.5488'), ('cortex of left cerebral hemisphere', '2644.6289'), ('white matter of left hemisphere of cerebellum', '93.6035'), ('left cerebellar cortex', '1477.8809'), ('white matter of right cerebral hemisphere', '1253.7598'), ('cortex of right cerebral hemisphere', '2242.5293'), ('right lateral ventricle', '11.8652'), ('white matter of right hemisphere of cerebellum', '203.0273'), ('right cerebellar cortex', '1611.0352')]"
coronal,26,"(256, 256, 1)","[('Unknown', '75257.2266'), ('white matter of left cerebral hemisphere', '1081.0547'), ('cortex of left cerebral hemisphere', '2768.5547'), ('white matter of left hemisphere of cerebellum', '145.0195'), ('left cerebellar cortex', '1556.9824'), ('white matter of right cerebral hemisphere', '1307.8125'), ('cortex of right cerebral hemisphere', '2312.4023'), ('right lateral ventricle', '13.1836'), ('white matter of right hemisphere of cerebellum', '259.7168'), ('right cerebellar cortex', '1698.0469')]"
