1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.147690	83.006550	0.054529	291.5
1	-0.579084	82.759751	0.247594	1.5
2	-0.000000	82.514899	0.000000	0.9
3	-0.326097	82.271970	0.028131	1.2
4	-0.137319	82.030938	0.027558	2.1
5	-0.304231	81.791781	0.031168	2.0
6	-0.257422	81.554474	0.034675	2.1
7	-0.000020	81.318994	0.000027	2.1
8	-0.450018	81.085318	0.096799	3.1
9	-0.211485	80.853424	0.020290	2.9
10	-0.580469	80.623291	0.079135	1.6
11	-0.017846	80.394896	0.001083	1.1
12	-0.046519	80.168219	0.004535	1.4
13	-0.343314	79.943237	0.036623	1.7
14	-0.393736	79.719932	0.034967	2.1
15	-0.041337	79.498282	0.005876	2.2
16	-0.083281	79.278268	0.023425	1.4
17	-0.044338	79.059871	0.019584	1.9
18	-0.083996	78.843070	0.014928	2.1
19	-0.318653	78.627848	0.019064	1.4
20	-0.013598	78.414185	0.001235	1.6
21	-0.482312	78.202063	0.140489	2.0
22	-0.048969	77.991465	0.008622	1.7
23	-0.122901	77.782372	0.034348	3.0
24	-0.294889	77.574768	0.031969	1.9
25	-0.337945	77.368635	0.028911	1.8
26	-0.215627	77.163955	0.056257	1.7
27	-0.140977	76.960714	0.020711	1.5
28	-0.264407	76.758894	0.050975	1.6
29	-0.489143	76.558479	0.061388	1.6
30	-0.370649	76.359453	0.043567	2.6
31	-0.628645	76.161801	0.113017	2.0
32	-0.352076	75.965507	0.074064	1.6
33	-0.411151	75.770557	0.046709	1.4
34	-0.510550	75.576936	0.081869	1.4
35	-0.231578	75.384628	0.085765	1.4
36	-0.382405	75.193619	0.039575	1.4
37	-0.471297	75.003896	0.125891	1.4
38	-0.123216	74.815444	0.043395	1.4
39	-0.065046	74.628249	0.009828	1.8
40	-0.728845	74.442298	0.217308	2.1
41	-0.448027	74.257577	0.094519	2.0
42	-0.543033	74.074074	0.090766	1.5
43	-0.219003	73.891775	0.019817	1.4
44	-0.040357	73.710668	0.010912	1.4
45	-0.279656	73.530739	0.059137	1.8
46	-0.316404	73.351977	0.011297	1.7
47	-0.480213	73.174369	0.043486	1.5
48	-0.042882	72.997904	0.011593	2.6
49	-0.448683	72.822568	0.107494	2.0
50	-0.119152	72.648351	0.012418	1.3
51	-0.300268	72.475242	0.022634	1.5
52	-0.133218	72.303227	0.035547	1.4
53	-0.244113	72.132298	0.047887	1.2
54	-0.334903	71.962441	0.084754	1.4
55	-0.311818	71.793647	0.052866	1.4
56	-0.119501	71.625905	0.022513	1.4
57	-0.367337	71.459204	0.062540	2.2
58	-0.344916	71.293533	0.114854	2.7
59	-0.076264	71.128883	0.025710	4.4
60	-0.341259	70.965243	0.075932	2.2
61	-0.223137	70.802602	0.018483	2.1
62	-0.312048	70.640953	0.055068	2.8
63	-0.277402	70.480283	0.043833	2.6
64	-0.162776	70.320584	0.022987	1.9
65	-0.277772	70.161847	0.066400	2.2
66	-0.220611	70.004062	0.018686	1.5
67	-0.352269	69.847219	0.046639	1.4
68	-0.197961	69.691310	0.021920	6.1
69	-0.290421	69.536325	0.082069	2.3
70	-0.310595	69.382257	0.070551	4.1
71	-0.719711	69.229095	0.124594	2.1
72	-0.420955	69.076831	0.062603	2.1
73	-0.363614	68.925458	0.039296	2.1
74	-0.283136	68.774965	0.046252	4.0
75	-0.589822	68.625346	0.173654	2.2
76	-0.286675	68.476591	0.045183	2.6
